name;price;image_url;quantity;description;category;tax;power
WINO ARIS JOHANNITER SUR LIE 11,5% 0,75L B/W;79.90;https://alkoholeswiata24.pl/gfx/mini/1685970624.4317.jpg, https://alkoholeswiata24.pl/gfx/1685970624.4317.jpg;2;Wino Aris Johanniter - wino polskie regionalne, białe, wytrawne . Powstało w 100% z winogron dojrzewających na słońcu, szczepu Johanniter z rocznika 2021 roku. Dojrzewało przez 12 miesięcy na naturalnym osadzie drożdżowym.  Orzeźwiające wino Aris Johanniter najlepiej serwować w temperaturze 8-10℃ w towarzystwie ryb, owoców morza i delikatnych potraw z ryżem.  Wino Aris Johanniter - noty degustacyjne : Żółte jabłka, morele, nektarynka i biała porzeczka.  : Orzeźwiający, kwaskowaty z wyczuwalną mineralnością i nutami świeżych owoców.;wino białe;1;Moc:11,5%
WINO AMARONE TENUTA NOVARE 0,7L CZ/W;199.00;https://alkoholeswiata24.pl/gfx/mini/1604056090.5633.jpg, https://alkoholeswiata24.pl/gfx/1604056090.5633.jpg;0;;wino czerwone;1;Moc: 0%
WINO BARON DE LEY SEMIDULCE RIOJA 11% B/PS 0,75L HISZPANIA;59.00;https://alkoholeswiata24.pl/gfx/mini/1681976018.2112.jpg, https://alkoholeswiata24.pl/gfx/1681976018.2112.jpg;0;Wino Baron De Ley SemiDulce Rioja - wino hiszpańskie białe, półsłodkie  to białe, półsłodkie   Bardzo przyjemne i aromatyczne wino produkowane jest ze szczepów  . Eleganckie wino charakteryzuje się bogatym smakiem owoców egzotycznych ze zrównoważoną kwasowością cytryny.   zostało zamknięte z mocą 11% abv w przepiękną  , przywodzącymi na myśl słoneczne, wiosenne dni. Takie wino to doskonała propozycja dla smakoszy bardziej słodkich niż wytrawnych win. Sprawdzi się idealnie jako  Najlepiej smakuje schłodzone, w letnie dni i wieczory. Można podawać jako aperitif lub do lekkich dań czy sałat.  Noty degustacyjne wina Baron De Ley SemiDulce Rioja:  : Owoce egzotyczne, akcenty ziół. : Słodycz ze zrównoważoną owocową kwasowością, cytryna, ananas, gruszka, jabłko, nuty ziół.;wino białe;1;Moc:11%
WINO BLUE NUN EISWEIN 0,5L 10,5% B/S NIEMCY;149.00;https://alkoholeswiata24.pl/gfx/mini/1680853053.2613.jpg, https://alkoholeswiata24.pl/gfx/1680853053.2613.jpg;2;Wino Blue Nun Eiswein - wino białe, słodkie Niemcy to wyborne niemieckie wino białe, słodkie typu  produkowane w regionie Hesji Reńskiej. Powstaje w   zbieranych po pierwszych przymrozkach. Takie grona oddają wyjątkowo dużo smaku i aromatu.  , ze względu na bardzo staranną selekcję winogron, delikatne wyciskanie moszczu winnego, wolnej, dokładnej fermentacji oraz leżakowaniu wina.  Wino lodowe Blue Nun Eiswein charakteryzuje się zrównoważonym bukietem smakowym. Bogaty gronowy bukiet doskonale komponuje się ze świeżą kwasowością. To   oraz celebrowania ważnych okazji.  Najlepiej podawać w temperaturze 8-10℃ jako digestif po posiłku, lub do deserów.;wino białe;1;Moc:10,5%
WINO AMARONE DELLA VALPOLICELLA ZONIN 0,7L CZ/W;219.00;https://alkoholeswiata24.pl/gfx/mini/1673437283.7086.jpg, https://alkoholeswiata24.pl/gfx/1673437283.7086.jpg;2;;wino czerwone;1;Moc: 0%
WINO BLUE NUN  0,75L B/PW               NIEMCY-NADRENIA;32.00;https://alkoholeswiata24.pl/gfx/mini/1509296427.8882.jpg, https://alkoholeswiata24.pl/gfx/1509296427.8882.jpg;10;Wspaniale smakuje podane z drobiem, owocami morza i daniami kuchni orientalnej i wegetariańskie, ale również podane samodzielnie schłodzone do 8-12℃.;wino białe;1;Moc: 0%
WINO AMARONE DELLA VALPOLICELLA SPERI 0,75L 15% CZ/W;329.00;https://alkoholeswiata24.pl/gfx/mini/1620804854.1504.jpg, https://alkoholeswiata24.pl/gfx/1620804854.1504.jpg;2;;wino czerwone;1;Moc:15%
WINO AVES DEL SUR MERLOT 0,7L CZ/W CHILE;28.91;https://alkoholeswiata24.pl/gfx/mini/1539243634.4681.jpg, https://alkoholeswiata24.pl/gfx/1539243634.4681.jpg;0;;wino czerwone;1;Moc: 0%
WINO BIO CASTILLO DE LIRIA ORGANIC BLANCO DOP 0,75L B/W;29.00;https://alkoholeswiata24.pl/gfx/mini/1675087628.74.jpg, https://alkoholeswiata24.pl/gfx/1675087628.74.jpg;9;Wino BIO Castillo De Liria Organic DOP białe, wytrawne 0,75l;wino białe;1;Moc: 0%
WINO BAROLO DUCHESSA LIA 0,75L 14,5% CZ/W WŁOCHY;149.90;https://alkoholeswiata24.pl/gfx/mini/1642683171.2145.jpg, https://alkoholeswiata24.pl/gfx/1642683171.2145.jpg;3;;wino czerwone;1;Moc:14,5%
