name;price;image_url;quantity;description;category
WÓDKA DWÓR SIERAKÓW PIEPRZOWA 0,7L 40% W PUDEŁKU;152.00;https://alkoholeswiata24.pl/gfx/mini/1655987902.812.jpg, https://alkoholeswiata24.pl/gfx/1655987902.812.jpg;6;;wodki owocowe
WÓDKA DĘBOWA RED LIS 0,7L 40%;59.00;https://alkoholeswiata24.pl/gfx/mini/1691740193.5932.jpg, https://alkoholeswiata24.pl/gfx/1691740193.5932.jpg;0;Wódka Dębowa Red Lis Wódka Dębowa Red Lis to wysokiej jakości trunek, produkowany z krystalicznie czystej wódki i leśnych owoców. Wódkę charakteryzuje przepiękny czerwony kolor i wizerunek lisa symbolizujący tajemnicę i przebiegłość. Zwinny lis nawiązuje do intensywności i wykwintnego smaku alkoholu. Mocno wyczuwalne nuty świeżych jagód, malin i czereśni, które są ucztą dla podniebienia każdego konesera. Wódka zabutelkowana z mocą 40% abv, jednak jej smak jest łagodny i mocno owocowy.  Wódka Dębowa Lis Red to niezwykły trunek, który cieszy oko i podniebienie. Wspaniały pomysł na prezent dla każdego wielbiciela natury.;wodki owocowe
NALEWKA PERVAK PAPRYKÓWKA Z MIODEM 0,5L 37,5%;29.99;https://alkoholeswiata24.pl/gfx/mini/1696337443.2179.jpg, https://alkoholeswiata24.pl/gfx/1696337443.2179.jpg;2;Nalewka Pervak Paprykówka z Miodem 0,5l Pervak Paprykówka z Miodem to smakowa wódka kraftowa z dodatkiem ostrej papryki. Produkowana według autorskiego przepisu. Ciekawym dodatkiem jest aromatyczny napar z miodu i soku jabłkowego, który dodaje lekkości i słodyczy. Delikatna nalewka, łatwo pijana, którą można spożywać solo jak i w drinkach. Zabutelkowana z mocą 37,5% ABV.;wodki smakowe
WÓDKA CORDIAL GRUSZKÓWKA 0,5L 40%;47.00;https://alkoholeswiata24.pl/gfx/mini/1691415198.3472.jpg, https://alkoholeswiata24.pl/gfx/1691415198.3472.jpg;0;Wódka Cordial Gruszkówka - wódka gruszkowa  produkowana przez polską markę Polmos Bielsko-Biała. Powstaje według tradycyjnej 200-letniej receptury, przekazywanej z pokolenia na pokolenie. Wytwarzana z wysokiej jakości składników- wyselekcjonowanego spirytusu, syropu owocowego i soczystych owoców.   charakteryzuje się bogatym bukietem dojrzałych, słodkich owoców.  Doskonały trunek na lato. Pić schłodzone.;wodki owocowe
WÓDKA CHACHA ASKANELI PLATINUM 0,5L 40% GRUZJA;67.00;https://alkoholeswiata24.pl/gfx/mini/1610531220.7903.jpg, https://alkoholeswiata24.pl/gfx/1610531220.7903.jpg;0;;wodki owocowe
WÓDKA  ALCHEMY 0,7L 40%;69.90;https://alkoholeswiata24.pl/gfx/mini/1618238012.7763.jpg, https://alkoholeswiata24.pl/gfx/1618238012.7763.jpg;0;Będący zafascynowani twórczością średniowiecza - stworzona została Alchemy Vódka - idealnie dobrany spirytus najwyższej jakości.;wodki smakowe
WÓDKA ABSOLUT LIME 0,7l 40%;66.51;https://alkoholeswiata24.pl/gfx/mini/1669727755.516.jpg, https://alkoholeswiata24.pl/gfx/1669727755.516.jpg;0;Wódka Absolut Lime 0,7l 40%;wodki smakowe
WÓDKA APPLE 1233 0,7L 40% KARTON;190.00;https://alkoholeswiata24.pl/gfx/mini/1678965899.0233.jpg, https://alkoholeswiata24.pl/gfx/1678965899.0233.jpg;0;"Wódka 1233 Apple Vodka - wódka jabłkowa   Nazwa ""1233"" nawiązuje do roku, w którym Toruń otrzymał prawa miejskie. Toruńskie Wódki Gatunkowe, które już od ponad 130 lat zajmują się produkcją alkoholi postanowili upamiętnić to wydarzenie wytwarzając jedyną i niepowtarzalną wódkę jabłkową.  Produkowana z wysokiej jakości, wielokrotnie destylowanego spirytusu zbożowego oraz . Charakteryzuje się delikatnym smakiem słodkich jabłek i długim, rozgrzewającym finiszem. To wspaniała propozycja, która przypadnie do gustu każdemu lubującemu się w wysokoprocentowych alkoholach.  Luksusowa wódka 1233 Apple Vodka została zamknięta drewnianym korkiem w elegancką butelkę o pojemności 0,7 litra i czarny kartonik.";wodki owocowe
WÓDKA ABSOLUT KURANT 0,7l 40%;65.50;https://alkoholeswiata24.pl/gfx/mini/1668781031.6351.jpg, https://alkoholeswiata24.pl/gfx/1668781031.6351.jpg;0;Wódka Absolut Kurant 0,7l 40%;wodki smakowe
WÓDKA ADAM MICKIEWICZ ŻURAWINA 0,5L 30%;34.00;https://alkoholeswiata24.pl/gfx/mini/1701167857.0588.jpg, https://alkoholeswiata24.pl/gfx/1701167857.0588.jpg;5;Wódka Adam Mickiewicz Żurawina 0,5l;wodki owocowe
WÓDKA ABSOLUT GRAPEFRUIT 0,7L 40%;65.50;https://alkoholeswiata24.pl/gfx/mini/1581944843.7472.jpg, https://alkoholeswiata24.pl/gfx/1581944843.7472.jpg;4;Wódka Absolut Grapefruit 0,7l 40%;wodki smakowe
WÓDKA KAMO KIWI 0,7L 40%;176.00;https://alkoholeswiata24.pl/gfx/mini/1687853460.9949.jpg, https://alkoholeswiata24.pl/gfx/1687853460.9949.jpg;2;Wódka Kamo Kiwi   niesamowita wódka o   produkowana w Wielkiej Brytanii. Destylowana siedmiokrotnie, niezwykle gładka i łatwa do picia.  . Produkowana z najlepszych owoców kiwi z Nowej Zelandii. Świeży smak z długim, aromatycznym finiszem.  Wódkę Kamo Kiwi najlepiej pić podaną na lodzie z plasterkiem cytryny.;wodki owocowe
WÓDKA ABSOLUT EXTRAKT 0,7L 35%;79.90;https://alkoholeswiata24.pl/gfx/mini/1689248832.5159.jpg, https://alkoholeswiata24.pl/gfx/1689248832.5159.jpg;0;Wódka Absolut Extrakt Absolut Extrakt to wysokiej jakości wyrazista wódka ze zdecydowanym i mocnym charakterem. Smakiem przypomina popularny napój schnapps. Produkowany jest w Szwecji z wysokiej jakości zboża, z dodatkiem naturalnego ekstraktu jednej z najdroższych przypraw- kardamonu. Dzięki temu niezwykłemu dodatkowi wódka osiągnęła unikalny, zrównoważony smak z niuansami aromatycznych, pikantnych przypraw.  Wódkę Absolut Extrakt o mocy 35% abv najlepiej pić schłodzony w formie shota, aby w pełni docenić jej walory smakowe. Można również mieszać w nowoczesnych, niekonwencjonalnych drinkach.;wodki smakowe
WÓDKA 1233 ŚLIWOWICA POLSKA 0,7L 63%;215.90;https://alkoholeswiata24.pl/gfx/mini/1695295435.8091.jpg, https://alkoholeswiata24.pl/gfx/1695295435.8091.jpg;3;"Wódka 1233 Śliwowica Polska 0,7l 63%  Nazwa ""1233"" nawiązuje do roku, w którym Toruń otrzymał prawa miejskie. Toruńskie Wódki Gatunkowe, które już od ponad 130 lat zajmują się produkcją alkoholi postanowili upamiętnić to wydarzenie wytwarzając jedyną i niepowtarzalną śliwowicę.  Produkowana z wysokiej jakości, wielokrotnie destylowanego spirytusu zbożowego oraz .  To wspaniała propozycja, która przypadnie do gustu każdemu lubującemu się w wysokoprocentowych alkoholach.  Luksusowa wódka 1233 Śliwowica Polska została zamknięta drewnianym korkiem w elegancką butelkę o pojemności 0,7 litra i czarny kartonik.";wodki smakowe
WÓDKA PRAVDA CITRON 0,7L 37,5%;124.89;https://alkoholeswiata24.pl/gfx/mini/1676885742.3719.jpg, https://alkoholeswiata24.pl/gfx/1676885742.3719.jpg;4;Wódka Pravda Citron 0,7l 37,5%;wodki owocowe
WÓDKA 1233 GRAPE 0,7L 40% W KARTONIKU;192.00;https://alkoholeswiata24.pl/gfx/mini/1695043458.9309.jpg, https://alkoholeswiata24.pl/gfx/1695043458.9309.jpg;0;"Wódka 1233 Grape winogronowa w kartoniku  Nazwa ""1233"" nawiązuje do roku, w którym Toruń otrzymał prawa miejskie. Toruńskie Wódki Gatunkowe, które już od ponad 130 lat zajmują się produkcją alkoholi postanowili upamiętnić to wydarzenie wytwarzając jedyną i niepowtarzalną  .  Wódka 1233 Grape produkowana jest z wysokiej jakości leżakowanego destylatu winnego. Charakteryzuje się delikatnym smakiem słodkich, soczystych winogron, uzupełnionymi nutami drewna. To wspaniała propozycja, która przypadnie do gustu każdemu lubującemu się w wysokoprocentowych alkoholach.  Luksusowa wódka 1233 Apple Vodka została zamknięta drewnianym korkiem w elegancką butelkę przypominającym karafkę o pojemności 0,7 litra i czarny kartonik.";wodki smakowe
WÓDKA PRAVDA CHERRY 0,7L 37,5%;124.89;https://alkoholeswiata24.pl/gfx/mini/1676885485.4314.jpg, https://alkoholeswiata24.pl/gfx/1676885485.4314.jpg;2;Wódka Pravda Cherry 0,7l 37,5%;wodki owocowe
WÓDKA PALIKOT WYJEBONGO MARAKUJA 40% 0,7L;109.49;https://alkoholeswiata24.pl/gfx/mini/1672819504.4998.jpg, https://alkoholeswiata24.pl/gfx/1672819504.4998.jpg;5;Wódka Palikot Wyjebongo Marakuja 0,7l 40%;wodki owocowe
WÓDKA  WOLF & OAK ŻYTNIA Z MIODEM 0,7L 40%;99.90;https://alkoholeswiata24.pl/gfx/mini/1614847515.6218.jpg, https://alkoholeswiata24.pl/gfx/1614847515.6218.jpg;0;;wodki smakowe
WÓDKA  WOLF & OAK ŚLIWOWICA 0,7L 60%;149.90;https://alkoholeswiata24.pl/gfx/mini/1685368549.5241.jpg, https://alkoholeswiata24.pl/gfx/1685368549.5241.jpg;2;Wódka Śliwica Wolf & Oak 0,7l 60%;wodki smakowe
