name,price,image_url,product_code,large_image_url,description
"GIN DRUMSHANBO GUNPOWDER IRISH WITH SARDINIAN CITRUS 43% 0,7L",159.90,gfx/mini/1680093311.8249.jpg,5391530350426,gfx/1680093311.8249.jpg,"Gin Drumshanbo Gunpowder Irish Sardinian Citrus 0,7l 43%  produkowany z dwunastu wyselekcjonowanych roślin botanicznych. Głównym składnikiem jest zielona herbata Gunpowder, która charakteryzuje się świeżym i lekko pikantnym smakiem. Osiem składników botanicznych jest destylowanych w miedzianym alembiku, a cztery pozostałe (herbata Gunpowder, grejpfrut, cytryna Pompia i limonka makrut) są destylowane na parze. Proces destylacji jest powolny, aby wydobyć maksimum esencji z roślin. Gin o pojemności 0,7 litra został zabutelkowany z mocą 43% abv.  . Jego dodatek do zielonej herbaty Gunpowder sprawia, że trunek jest niezwykle unikalny i wspaniale orzeźwiający.  Każda butelka egzotycznego   jest napełniana, oznakowana i zapieczętowania ręcznie."
"GIN DRUMSHANBO GUNPOWDER IRISH WITH CALIFORNIA ORANGE CITRUS 43% 0,7L",159.90,gfx/mini/1691501917.6411.jpg,5391530350556,gfx/1691501917.6411.jpg,"Gin Drumshanbo Gunpowder Irish with California Orange Citrus  produkowany z wyselekcjonowanych składników. W skład oryginalnego ginu wchodzi dwanaście roślin botanicznych, gdzie sercem jest  , której liście w trakcie suszenia zmieniają się w kuleczki przypominające proch strzelniczy. Do standardowej wersji ginu Drumshanbo Gunpowder zostały dodane  , tworząc wspaniałe cytrusowe orzeźwienie. Na podniebieniu dominują świeże nuty cytrusów i olejku pomarańczowego. W tle doskonale współgrające akcenty jałowca, zielonej herbaty i ziół.  Gin Drumshanbo Gunpowder Irish with California Orange Citrus polecany jest do spożywania solo z kostką lodu, aby w pełni docenić jego walory smakowe."
"GIN DRUMSHANBO GUNPOWDER IRISH 43% 0,7L",159.90,gfx/mini/1680090010.4413.jpg,5060434130228,gfx/1680090010.4413.jpg,"Gin Drumshanbo Gunpowder Irish 0,7l 43%  produkowany w Irlandii. Powstaje z dwunastu wyselekcjonowanych roślin botanicznych. Głównym składnikiem jest zielona herbata o nazwie  . Liście herbaty podczas produkcji są zwijane w małe kulki co przypomina proch strzelniczy, stąd też jej nietypowa nazwa. Po dobraniu wszystkich składników następuje powolna destylacja. 8 wybranych roślin (wiązówka błotna, kardamon, jagody jałowca, nasiona kolendry, korzeń arcydzięgla, korzeń irysa, kminek, anyż) są umieszczane w miedzianym alembiku, a 4 pozostałe (herbata Gunpowder, cytryna chińska, grejpfrut orientalny, Limonka Kaffir) w specjalnym pojemniku, przez który przechodzą opary alkoholu, proces nazywa się ""vapour infusion"". Gin został zabutelkowany z mocą 43% abv.   uzupełnionym ciekawymi orientalnymi akcentami. Na pierwszym planie wysuwa się zielona herbata, a jej smak jest doskonale wyważony pikantną nutą. Każdy składnik został dokładnie przemyślany, więc całość jest doskonale spójna oraz zbalansowana.  , ale bardzo dobrze smakuje również solo.  Drinki z ginem Drumshanbo Gunpowder Irish Wymieszaj razem 40ml ginu, 140ml ulubionego toniku, udekoruj plasterkiem grejfpruta. Wymieszaj razem 60 ml ginu, 15ml   5ml soku z grejpfruta, łyżka ekstraktu z zielonej herbaty, udekoruj plasterkiem cytryny Wymieszaj razem 40ml ginu, 140ml ulubionego toniku, papryczka chili, plaster Mango, lód"
"GIN FORDS LONDON DRY 45% 0,7L",161.99,gfx/mini/1656486976.3786.jpg,5099873018095,gfx/1656486976.3786.jpg,"Gin Fords London Dry 0,7l 45% Znakomity gin powstały dzięki współpracy mistrza destylacji ósmej generacji Charles'a Maxwell'a z Thames Distillers zajmującej się produkcją tego trunku od XVII wieku oraz Simon Ford'a, którego celem jest tworzenie alkoholi zaprojektowanych w porozumieniu z profesjonalnymi barmanami i znanymi gorzelnikami z całego świata. Celem było stworzenie uniwersalnego trunku, który będzie idealny do użycia w każdym koktajlu na bazie ginu. Produkcja ginu Fords London Dry zaczyna się od 15 godzinnej maceracji w spirytusie pszenicznym aż 9 roślin, które wchodzą w skład ginu, gdzie rośliny uwalniają większość swoich olejów wydobywając głębię świeżego, aromatycznego i kwiatowego smaku wzbogaconego nutami jaśminu i grejpfruta. Następnie gin jest destylowany przez 5 godzin w 500 litrowych destylatorach, z czego uzyskujemy 200 litrów trunku. Po procesie destylacji gin przewożony jest do Mendocino w Kalifornii gdzie jest procesowany lokalną wodą ze studni i butelkowany z mocą 45% abv.  Jakie cechy ma gin Fords London Dry 0,7l?: W skład ginu wchodzą różnych 9 roślin, gdzie każda odpowiada za inne cechy trunku: 49,5% jałowiec z Włoch - orzeźwiający, sosnowy, lawendowy 30,5% kolendra z Rumunii - pikantny, cytrusowy, nuty pomarańczy 3,2% skórka cytryny z Hiszpanii - nuty cytrusowe i lekko wytrawne 3,2% skórka gorzkiej pomarańczy z Haiti i Maroko  3,2% skórka grejpfruta z Turcji - nuty cytrusowe, pikantne i cierpkie  3,2% jaśmin z Chin - nuty kwiatowe i wytrawne  3,2% korzeń arcydzięgla z Polski - cierpka słodycz i nuty wytrawne 2% kora kasji z Indonezji - słodka i aromatyczna 2% kora irysa z Włoch i Maroko - ziemisty i kwiatowy, wiąże smak Jak pić gin Fords London Dry? Podczas degustacji polecane jest dodać odrobinę wody, która wspaniale uwolni nuty kolendry, cytrusów i akcent kwiatowy. To doskonale udowodni jak świetnie gin będzie się prezentować w koktajlu."
"GIN GORDON'S TROPICAL PASSIONFRUIT 37,5% 0,7L",73.50,gfx/mini/1685109029.9305.jpg,5000289934800,gfx/1685109029.9305.jpg,"Gin Gordon's Tropical Passionfruit - gin online  to orzeźwiający trunek, doskonały do egzotycznych drinków i koktajli. Powstaje z wysokiej jakości, naturalnych składników. . Świetny na letnie wieczory w gronie przyjaciół.  Przepis na drink z ginem Gordon's Tropical Passionfruit 50ml Gin Gordon's Passionfruit 150ml tonik Ćwiartka świeżej marakui lód do wypełnienia Wymieszaj wszystkie składniki razem i rozkoszuj się egzotycznym, orzeźwiającym drinkiem!"
"GIN GORDON'S SICILIAN LEMON 37,5% 0,7L",73.50,gfx/mini/1620376445.8726.jpg,5000289932479,gfx/1620376445.8726.jpg,
"GIN GORDON'S PINK 0,7L 37,5% COPA GLASS + KIELISZEK",69.95,gfx/mini/1620376392.285.jpg,5000289933711,gfx/1620376392.285.jpg,
"GIN GORDON'S DRY 0,05L 37.5% MINIATURKA",9.50,gfx/mini/1617049332.8766.jpg,5000289020107,gfx/1617049332.8766.jpg,
"GIN GORDON'S BEZALKOHOLOWY 0% 0,7L",65.50,gfx/mini/1664887796.5527.jpg,5000289933605,gfx/1664887796.5527.jpg,"Gin Gordon's 0% Bezalkoholowy 0,7l"
"GIN GORDON'S 0,7L PINK 38%",72.00,gfx/mini/1537428700.1177.jpg,5000289929417,gfx/1537428700.1177.jpg,"Gordon Premium Pink Distilled Gin został stworzony, aby zaoferować słodszy i bardziej dostępny sposób na delektowanie się ginem i tonikiem. Podawaj go w dużym kieliszku do wina wypełnionym lodem i przyozdobionym świeżymi truskawkami."
"GIN GORDON'S 0,7L 40%",72.00,gfx/mini/1598346302.6398.jpg,5000289020602,gfx/1598346302.6398.jpg,"Gin Gordon's 0,7l 40%"
"GIN GORDON'S 0,7L 37,5% COPA GLASS + KIELISZEK",69.95,gfx/mini/1620376129.4165.jpg,5000289933698,gfx/1620376129.4165.jpg,"Gin Gordon's 0,7l 37,5% Copa Glass + kieliszek"
"GIN GLENDALOUGH WILD BOTANICAL 0,7L 41%",149.00,gfx/mini/1669993088.9511.jpg,5391537390944,gfx/1669993088.9511.jpg,"Gin Glendalough Wild Botanical 0,7l 41%"
"GIN GLENDALOUGH ROSE 0,7L 37,5%",149.00,gfx/mini/1669992850.2801.jpg,5391537390968,gfx/1669992850.2801.jpg,"Gin Glendalough Rose 0,7l 37,5%"
"GIN HENDRICK'S 0,7l 41,4%",179.90,gfx/mini/1481207412.3343.jpg,5010327755014,gfx/1481207412.3343.jpg,"Gin Hendrick's 0,7l Hendrick's Gin to trunek klasy premium produkowany w Szkocji. Powstaje z jedenastu składników botanicznych z różnych zakątków świata: jałowca, jagody bzu czarnego, rumianku, skórki cytryny, skórki pomarańczy, kolendry, krwawnika i irysa. Nietypowymi dodatkami są napar z ogórka i płatka róży, które nadają ginowi odświeżającego, kwiatowego charakteru.  Gin Hendrick's wytwarzany jest z wyselekcjonowanych, naturalnych składników. Czysta woda z lokalnych źródeł oraz najlepsze rośliny botaniczne tworzą wyjątkowy trunek, doskonały do picia zarówno bez dodatków jak i w koktajlach. Produkowany jest w niewielkich ilościach, aby przede wszystkim skupić się na doskonałej jakości. Gin może pochwalić się niezwykłą równowagą między zdecydowanym charakterem a delikatnością.  Hendrick's Gin - noty degustacyjne  Bogaty i orzeźwiający, nuty roślin jałowca i kolendry uzupełnione niuansami róży i fiołka.   Doskonale zrównoważony, lekko wytrawny. Cytrusy, jałowiec.   Długi i utrzymujący się, nuty ogórka i róży."
